Label;Part Type;mn;mpn;part number;
100Ω-Res;10kΩ Resistor;;;;
10kΩ-Res;10kΩ Resistor;;;;
12V-3A-10kmAh;4S Li-ion/LiPo 14.8 V XT60;;;;
5V-2.4A-5kmAh;LIPO-2000mAh;;;;
DIODE;Rectifier Diode;;;1N4001;
Driver-Left;TMC2209;;;;
Driver-Right;TMC2209;;;;
GESTURE;Adafruit APDS9960 Proximity Sensor;;;Adafruit #3595;
IMU;Adafruit BNO085 9-DOF Orientation IMU Fusion;;;Addfruit #4754;
LED1;Red (633nm) LED;;;;
LEFT;Adafruit APDS9960 Proximity Sensor;;;Adafruit #3595;
MOSFET;MOSFET-NCHANNEL;;;;
NEMA17-Left;Stepper Motor - Bipolar;;;;
NEMA17-Right;Stepper Motor - Bipolar;;;;
RBPi 4B;Raspberry Pi 4B;;;;
Resistor;220Ω Resistor;;;;
RIGHT;Adafruit APDS9960 Proximity Sensor;;;Adafruit #3595;
Vacuum-DC;DC Vacuum Fan 12V;;;;

Amount;Part Type;mn;mpn;part number;
2;10kΩ Resistor;;;;
1;220Ω Resistor;;;;
1;4S Li-ion/LiPo 14.8 V XT60;;;;
3;Adafruit APDS9960 Proximity Sensor;;;Adafruit #3595;
1;Adafruit BNO085 9-DOF Orientation IMU Fusion;;;Addfruit #4754;
1;DC Vacuum Fan 12V;;;;
1;LIPO-2000mAh;;;;
1;MOSFET-NCHANNEL;;;;
1;Raspberry Pi 4B;;;;
1;Rectifier Diode;;;1N4001;
1;Red (633nm) LED;;;;
2;Stepper Motor - Bipolar;;;;
2;TMC2209;;;;
